activity_id,project_id,wbs,discipline,activity_name,activity_description,equipment_tag,location,work_package,predecessor_activity_id,planned_start,planned_finish,planned_duration_days,baseline_status
ELE-026,SYN-IND-001,Pump Area A/Electrical,Electrical,Pull cables through CT-101,Pull and route electrical cables through tray CT-101,CT-101,Pump Area A,Electrical,ELE-025,2026-01-21,2026-01-23,3,Not Started
ELE-027,SYN-IND-001,Pump Area A/Electrical,Electrical,Terminate cables in CT-101,Terminate and label electrical cables associated with tray CT-101,CT-101,Pump Area A,Electrical,ELE-026,2026-01-25,2026-01-26,2,Not Started
INS-028,SYN-IND-001,Pump Area A/Instrumentation,Instrumentation,Install instrument PT-101,Mount and install field instrument PT-101,PT-101,Pump Area A,Instrumentation,,2026-01-23,2026-01-24,2,Not Started
INS-029,SYN-IND-001,Pump Area A/Instrumentation,Instrumentation,Calibrate instrument PT-101,Perform calibration and configuration of instrument PT-101,PT-101,Pump Area A,Instrumentation,INS-028,2026-01-26,2026-01-27,2,Not Started
INS-030,SYN-IND-001,Pump Area A/Instrumentation,Instrumentation,Perform loop check for PT-101,Verify signal loop and communication for instrument PT-101,PT-101,Pump Area A,Instrumentation,INS-029,2026-01-29,2026-01-29,1,Not Started
INS-031,SYN-IND-001,Pump Area A/Instrumentation,Instrumentation,Install instrument TT-101,Mount and install field instrument TT-101,TT-101,Pump Area A,Instrumentation,,2026-01-23,2026-01-24,2,Not Started
INS-032,SYN-IND-001,Pump Area A/Instrumentation,Instrumentation,Calibrate instrument TT-101,Perform calibration and configuration of instrument TT-101,TT-101,Pump Area A,Instrumentation,INS-031,2026-01-26,2026-01-27,2,Not Started
INS-033,SYN-IND-001,Pump Area A/Instrumentation,Instrumentation,Perform loop check for TT-101,Verify signal loop and communication for instrument TT-101,TT-101,Pump Area A,Instrumentation,INS-032,2026-01-29,2026-01-29,1,Not Started
CIV-034,SYN-IND-001,Pump Area B/Civil,Civil,Excavate foundation F-103,Excavation for equipment foundation F-103,F-103,Pump Area B,Civil,,2026-01-12,2026-01-14,3,Not Started
CIV-035,SYN-IND-001,Pump Area B/Civil,Civil,Cast concrete foundation F-103,Concrete pouring and casting for foundation F-103,F-103,Pump Area B,Civil,CIV-034,2026-01-16,2026-01-19,4,Not Started
CIV-036,SYN-IND-001,Pump Area B/Civil,Civil,Cure foundation F-103,Curing and strength development for foundation F-103,F-103,Pump Area B,Civil,CIV-035,2026-01-21,2026-01-25,5,Not Started
MEC-037,SYN-IND-001,Pump Area B/Mechanical,Mechanical,Install pump P-103,Position and install centrifugal pump P-103,P-103,Pump Area B,Mechanical,CIV-036,2026-01-27,2026-01-29,3,Not Started
MEC-038,SYN-IND-001,Pump Area B/Mechanical,Mechanical,Align pump P-103,Perform alignment and preliminary checks for pump P-103,P-103,Pump Area B,Mechanical,MEC-037,2026-01-31,2026-02-01,2,Not Started
MEC-039,SYN-IND-001,Pump Area B/Mechanical,Mechanical,Complete pump inspection P-103,Final mechanical inspection and readiness check for pump P-103,P-103,Pump Area B,Mechanical,MEC-038,2026-02-03,2026-02-04,2,Not Started
ELE-040,SYN-IND-001,Pump Area B/Electrical,Electrical,Connect motor power for P-103,Terminate and connect motor power supply for pump P-103,P-103,Pump Area B,Electrical,MEC-039,2026-02-06,2026-02-07,2,Not Started
CIV-041,SYN-IND-001,Pump Area B/Civil,Civil,Excavate foundation F-104,Excavation for equipment foundation F-104,F-104,Pump Area B,Civil,,2026-01-12,2026-01-14,3,Not Started
CIV-042,SYN-IND-001,Pump Area B/Civil,Civil,Cast concrete foundation F-104,Concrete pouring and casting for foundation F-104,F-104,Pump Area B,Civil,CIV-041,2026-01-16,2026-01-19,4,Not Started
CIV-043,SYN-IND-001,Pump Area B/Civil,Civil,Cure foundation F-104,Curing and strength development for foundation F-104,F-104,Pump Area B,Civil,CIV-042,2026-01-21,2026-01-25,5,Not Started
MEC-044,SYN-IND-001,Pump Area B/Mechanical,Mechanical,Install pump P-104,Position and install centrifugal pump P-104,P-104,Pump Area B,Mechanical,CIV-043,2026-01-27,2026-01-29,3,Not Started
MEC-045,SYN-IND-001,Pump Area B/Mechanical,Mechanical,Align pump P-104,Perform alignment and preliminary checks for pump P-104,P-104,Pump Area B,Mechanical,MEC-044,2026-01-31,2026-02-01,2,Not Started
MEC-046,SYN-IND-001,Pump Area B/Mechanical,Mechanical,Complete pump inspection P-104,Final mechanical inspection and readiness check for pump P-104,P-104,Pump Area B,Mechanical,MEC-045,2026-02-03,2026-02-04,2,Not Started
ELE-047,SYN-IND-001,Pump Area B/Electrical,Electrical,Connect motor power for P-104,Terminate and connect motor power supply for pump P-104,P-104,Pump Area B,Electrical,MEC-046,2026-02-06,2026-02-07,2,Not Started
PIP-048,SYN-IND-001,Pump Area B/Piping,Piping,Install piping spool SP-101,Erection and installation of piping spool SP-101,SP-101,Pump Area B,Piping,,2026-01-22,2026-01-24,3,Not Started
PIP-049,SYN-IND-001,Pump Area B/Piping,Piping,Perform fit-up for piping spool SP-101,Joint fit-up and preparation for welding of spool SP-101,SP-101,Pump Area B,Piping,PIP-048,2026-01-26,2026-01-27,2,Not Started
PIP-050,SYN-IND-001,Pump Area B/Piping,Piping,Weld piping spool SP-101,Complete welding work for piping spool SP-101,SP-101,Pump Area B,Piping,PIP-049,2026-01-29,2026-01-31,3,Not Started
PIP-051,SYN-IND-001,Pump Area B/Piping,Piping,Inspect welds for piping spool SP-101,Visual and quality inspection of weld joints for spool SP-101,SP-101,Pump Area B,Piping,PIP-050,2026-02-02,2026-02-03,2,Not Started
PIP-052,SYN-IND-001,Pump Area B/Piping,Piping,Hydrotest piping spool SP-101,Pressure and hydrostatic testing of installed spool SP-101,SP-101,Pump Area B,Piping,PIP-051,2026-02-05,2026-02-06,2,Not Started
PIP-053,SYN-IND-001,Pump Area B/Piping,Piping,Install piping spool SP-103,Erection and installation of piping spool SP-103,SP-103,Pump Area B,Piping,,2026-01-22,2026-01-24,3,Not Started
PIP-054,SYN-IND-001,Pump Area B/Piping,Piping,Perform fit-up for piping spool SP-103,Joint fit-up and preparation for welding of spool SP-103,SP-103,Pump Area B,Piping,PIP-053,2026-01-26,2026-01-27,2,Not Started
PIP-055,SYN-IND-001,Pump Area B/Piping,Piping,Weld piping spool SP-103,Complete welding work for piping spool SP-103,SP-103,Pump Area B,Piping,PIP-054,2026-01-29,2026-01-31,3,Not Started
PIP-056,SYN-IND-001,Pump Area B/Piping,Piping,Inspect welds for piping spool SP-103,Visual and quality inspection of weld joints for spool SP-103,SP-103,Pump Area B,Piping,PIP-055,2026-02-02,2026-02-03,2,Not Started
PIP-057,SYN-IND-001,Pump Area B/Piping,Piping,Hydrotest piping spool SP-103,Pressure and hydrostatic testing of installed spool SP-103,SP-103,Pump Area B,Piping,PIP-056,2026-02-05,2026-02-06,2,Not Started
ELE-058,SYN-IND-001,Pump Area B/Electrical,Electrical,Install cable tray CT-102,Install and support electrical cable tray CT-102,CT-102,Pump Area B,Electrical,,2026-01-24,2026-01-26,3,Not Started
ELE-059,SYN-IND-001,Pump Area B/Electrical,Electrical,Pull cables through CT-102,Pull and route electrical cables through tray CT-102,CT-102,Pump Area B,Electrical,ELE-058,2026-01-28,2026-01-30,3,Not Started
ELE-060,SYN-IND-001,Pump Area B/Electrical,Electrical,Terminate cables in CT-102,Terminate and label electrical cables associated with tray CT-102,CT-102,Pump Area B,Electrical,ELE-059,2026-02-01,2026-02-02,2,Not Started
INS-061,SYN-IND-001,Pump Area B/Instrumentation,Instrumentation,Install instrument PT-102,Mount and install field instrument PT-102,PT-102,Pump Area B,Instrumentation,,2026-01-30,2026-01-31,2,Not Started
INS-062,SYN-IND-001,Pump Area B/Instrumentation,Instrumentation,Calibrate instrument PT-102,Perform calibration and configuration of instrument PT-102,PT-102,Pump Area B,Instrumentation,INS-061,2026-02-02,2026-02-03,2,Not Started
INS-063,SYN-IND-001,Pump Area B/Instrumentation,Instrumentation,Perform loop check for PT-102,Verify signal loop and communication for instrument PT-102,PT-102,Pump Area B,Instrumentation,INS-062,2026-02-05,2026-02-05,1,Not Started
INS-064,SYN-IND-001,Pump Area B/Instrumentation,Instrumentation,Install instrument TT-102,Mount and install field instrument TT-102,TT-102,Pump Area B,Instrumentation,,2026-01-30,2026-01-31,2,Not Started
INS-065,SYN-IND-001,Pump Area B/Instrumentation,Instrumentation,Calibrate instrument TT-102,Perform calibration and configuration of instrument TT-102,TT-102,Pump Area B,Instrumentation,INS-064,2026-02-02,2026-02-03,2,Not Started
INS-066,SYN-IND-001,Pump Area B/Instrumentation,Instrumentation,Perform loop check for TT-102,Verify signal loop and communication for instrument TT-102,TT-102,Pump Area B,Instrumentation,INS-065,2026-02-05,2026-02-05,1,Not Started
CIV-067,SYN-IND-001,Process Area C/Civil,Civil,Excavate foundation F-201,Excavation for equipment foundation F-201,F-201,Process Area C,Civil,,2026-01-19,2026-01-21,3,Not Started
CIV-068,SYN-IND-001,Process Area C/Civil,Civil,Cast concrete foundation F-201,Concrete pouring and casting for foundation F-201,F-201,Process Area C,Civil,CIV-067,2026-01-23,2026-01-26,4,Not Started
CIV-069,SYN-IND-001,Process Area C/Civil,Civil,Cure foundation F-201,Curing and strength development for foundation F-201,F-201,Process Area C,Civil,CIV-068,2026-01-28,2026-02-01,5,Not Started
MEC-070,SYN-IND-001,Process Area C/Mechanical,Mechanical,Install pump P-201,Position and install centrifugal pump P-201,P-201,Process Area C,Mechanical,CIV-069,2026-02-03,2026-02-05,3,Not Started
MEC-071,SYN-IND-001,Process Area C/Mechanical,Mechanical,Align pump P-201,Perform alignment and preliminary checks for pump P-201,P-201,Process Area C,Mechanical,MEC-070,2026-02-07,2026-02-08,2,Not Started
MEC-072,SYN-IND-001,Process Area C/Mechanical,Mechanical,Complete pump inspection P-201,Final mechanical inspection and readiness check for pump P-201,P-201,Process Area C,Mechanical,MEC-071,2026-02-10,2026-02-11,2,Not Started
ELE-073,SYN-IND-001,Process Area C/Electrical,Electrical,Connect motor power for P-201,Terminate and connect motor power supply for pump P-201,P-201,Process Area C,Electrical,MEC-072,2026-02-13,2026-02-14,2,Not Started
PIP-074,SYN-IND-001,Process Area C/Piping,Piping,Install piping spool SP-201,Erection and installation of piping spool SP-201,SP-201,Process Area C,Piping,,2026-01-29,2026-01-31,3,Not Started
PIP-075,SYN-IND-001,Process Area C/Piping,Piping,Perform fit-up for piping spool SP-201,Joint fit-up and preparation for welding of spool SP-201,SP-201,Process Area C,Piping,PIP-074,2026-02-02,2026-02-03,2,Not Started
PIP-076,SYN-IND-001,Process Area C/Piping,Piping,Weld piping spool SP-201,Complete welding work for piping spool SP-201,SP-201,Process Area C,Piping,PIP-075,2026-02-05,2026-02-07,3,Not Started
PIP-077,SYN-IND-001,Process Area C/Piping,Piping,Inspect welds for piping spool SP-201,Visual and quality inspection of weld joints for spool SP-201,SP-201,Process Area C,Piping,PIP-076,2026-02-09,2026-02-10,2,Not Started
PIP-078,SYN-IND-001,Process Area C/Piping,Piping,Hydrotest piping spool SP-201,Pressure and hydrostatic testing of installed spool SP-201,SP-201,Process Area C,Piping,PIP-077,2026-02-12,2026-02-13,2,Not Started
PIP-079,SYN-IND-001,Process Area C/Piping,Piping,Install piping spool SP-202,Erection and installation of piping spool SP-202,SP-202,Process Area C,Piping,,2026-01-29,2026-01-31,3,Not Started
PIP-080,SYN-IND-001,Process Area C/Piping,Piping,Perform fit-up for piping spool SP-202,Joint fit-up and preparation for welding of spool SP-202,SP-202,Process Area C,Piping,PIP-079,2026-02-02,2026-02-03,2,Not Started
PIP-081,SYN-IND-001,Process Area C/Piping,Piping,Weld piping spool SP-202,Complete welding work for piping spool SP-202,SP-202,Process Area C,Piping,PIP-080,2026-02-05,2026-02-07,3,Not Started
PIP-082,SYN-IND-001,Process Area C/Piping,Piping,Inspect welds for piping spool SP-202,Visual and quality inspection of weld joints for spool SP-202,SP-202,Process Area C,Piping,PIP-081,2026-02-09,2026-02-10,2,Not Started
PIP-083,SYN-IND-001,Process Area C/Piping,Piping,Hydrotest piping spool SP-202,Pressure and hydrostatic testing of installed spool SP-202,SP-202,Process Area C,Piping,PIP-082,2026-02-12,2026-02-13,2,Not Started
ELE-084,SYN-IND-001,Process Area C/Electrical,Electrical,Install cable tray CT-201,Install and support electrical cable tray CT-201,CT-201,Process Area C,Electrical,,2026-01-31,2026-02-02,3,Not Started
ELE-085,SYN-IND-001,Process Area C/Electrical,Electrical,Pull cables through CT-201,Pull and route electrical cables through tray CT-201,CT-201,Process Area C,Electrical,ELE-084,2026-02-04,2026-02-06,3,Not Started
ELE-086,SYN-IND-001,Process Area C/Electrical,Electrical,Terminate cables in CT-201,Terminate and label electrical cables associated with tray CT-201,CT-201,Process Area C,Electrical,ELE-085,2026-02-08,2026-02-09,2,Not Started
INS-087,SYN-IND-001,Process Area C/Instrumentation,Instrumentation,Install instrument PT-201,Mount and install field instrument PT-201,PT-201,Process Area C,Instrumentation,,2026-02-06,2026-02-07,2,Not Started
INS-088,SYN-IND-001,Process Area C/Instrumentation,Instrumentation,Calibrate instrument PT-201,Perform calibration and configuration of instrument PT-201,PT-201,Process Area C,Instrumentation,INS-087,2026-02-09,2026-02-10,2,Not Started
INS-089,SYN-IND-001,Process Area C/Instrumentation,Instrumentation,Perform loop check for PT-201,Verify signal loop and communication for instrument PT-201,PT-201,Process Area C,Instrumentation,INS-088,2026-02-12,2026-02-12,1,Not Started
INS-090,SYN-IND-001,Process Area C/Instrumentation,Instrumentation,Install instrument FT-201,Mount and install field instrument FT-201,FT-201,Process Area C,Instrumentation,,2026-02-06,2026-02-07,2,Not Started
INS-091,SYN-IND-001,Process Area C/Instrumentation,Instrumentation,Calibrate instrument FT-201,Perform calibration and configuration of instrument FT-201,FT-201,Process Area C,Instrumentation,INS-090,2026-02-09,2026-02-10,2,Not Started
INS-092,SYN-IND-001,Process Area C/Instrumentation,Instrumentation,Perform loop check for FT-201,Verify signal loop and communication for instrument FT-201,FT-201,Process Area C,Instrumentation,INS-091,2026-02-12,2026-02-12,1,Not Started
CIV-093,SYN-IND-001,Utility Area/Civil,Civil,Excavate foundation F-301,Excavation for equipment foundation F-301,F-301,Utility Area,Civil,,2026-01-26,2026-01-28,3,Not Started
CIV-094,SYN-IND-001,Utility Area/Civil,Civil,Cast concrete foundation F-301,Concrete pouring and casting for foundation F-301,F-301,Utility Area,Civil,CIV-093,2026-01-30,2026-02-02,4,Not Started
CIV-095,SYN-IND-001,Utility Area/Civil,Civil,Cure foundation F-301,Curing and strength development for foundation F-301,F-301,Utility Area,Civil,CIV-094,2026-02-04,2026-02-08,5,Not Started
MEC-096,SYN-IND-001,Utility Area/Mechanical,Mechanical,Install pump P-301,Position and install centrifugal pump P-301,P-301,Utility Area,Mechanical,CIV-095,2026-02-10,2026-02-12,3,Not Started
MEC-097,SYN-IND-001,Utility Area/Mechanical,Mechanical,Align pump P-301,Perform alignment and preliminary checks for pump P-301,P-301,Utility Area,Mechanical,MEC-096,2026-02-14,2026-02-15,2,Not Started
MEC-098,SYN-IND-001,Utility Area/Mechanical,Mechanical,Complete pump inspection P-301,Final mechanical inspection and readiness check for pump P-301,P-301,Utility Area,Mechanical,MEC-097,2026-02-17,2026-02-18,2,Not Started
ELE-099,SYN-IND-001,Utility Area/Electrical,Electrical,Connect motor power for P-301,Terminate and connect motor power supply for pump P-301,P-301,Utility Area,Electrical,MEC-098,2026-02-20,2026-02-21,2,Not Started
PIP-100,SYN-IND-001,Utility Area/Piping,Piping,Install piping spool SP-301,Erection and installation of piping spool SP-301,SP-301,Utility Area,Piping,,2026-02-05,2026-02-07,3,Not Started
PIP-101,SYN-IND-001,Utility Area/Piping,Piping,Perform fit-up for piping spool SP-301,Joint fit-up and preparation for welding of spool SP-301,SP-301,Utility Area,Piping,PIP-100,2026-02-09,2026-02-10,2,Not Started
PIP-102,SYN-IND-001,Utility Area/Piping,Piping,Weld piping spool SP-301,Complete welding work for piping spool SP-301,SP-301,Utility Area,Piping,PIP-101,2026-02-12,2026-02-14,3,Not Started
PIP-103,SYN-IND-001,Utility Area/Piping,Piping,Inspect welds for piping spool SP-301,Visual and quality inspection of weld joints for spool SP-301,SP-301,Utility Area,Piping,PIP-102,2026-02-16,2026-02-17,2,Not Started
PIP-104,SYN-IND-001,Utility Area/Piping,Piping,Hydrotest piping spool SP-301,Pressure and hydrostatic testing of installed spool SP-301,SP-301,Utility Area,Piping,PIP-103,2026-02-19,2026-02-20,2,Not Started
PIP-105,SYN-IND-001,Utility Area/Piping,Piping,Install piping spool SP-302,Erection and installation of piping spool SP-302,SP-302,Utility Area,Piping,,2026-02-05,2026-02-07,3,Not Started
PIP-106,SYN-IND-001,Utility Area/Piping,Piping,Perform fit-up for piping spool SP-302,Joint fit-up and preparation for welding of spool SP-302,SP-302,Utility Area,Piping,PIP-105,2026-02-09,2026-02-10,2,Not Started
PIP-107,SYN-IND-001,Utility Area/Piping,Piping,Weld piping spool SP-302,Complete welding work for piping spool SP-302,SP-302,Utility Area,Piping,PIP-106,2026-02-12,2026-02-14,3,Not Started
PIP-108,SYN-IND-001,Utility Area/Piping,Piping,Inspect welds for piping spool SP-302,Visual and quality inspection of weld joints for spool SP-302,SP-302,Utility Area,Piping,PIP-107,2026-02-16,2026-02-17,2,Not Started
PIP-109,SYN-IND-001,Utility Area/Piping,Piping,Hydrotest piping spool SP-302,Pressure and hydrostatic testing of installed spool SP-302,SP-302,Utility Area,Piping,PIP-108,2026-02-19,2026-02-20,2,Not Started
ELE-110,SYN-IND-001,Utility Area/Electrical,Electrical,Install cable tray CT-301,Install and support electrical cable tray CT-301,CT-301,Utility Area,Electrical,,2026-02-07,2026-02-09,3,Not Started
ELE-111,SYN-IND-001,Utility Area/Electrical,Electrical,Pull cables through CT-301,Pull and route electrical cables through tray CT-301,CT-301,Utility Area,Electrical,ELE-110,2026-02-11,2026-02-13,3,Not Started
ELE-112,SYN-IND-001,Utility Area/Electrical,Electrical,Terminate cables in CT-301,Terminate and label electrical cables associated with tray CT-301,CT-301,Utility Area,Electrical,ELE-111,2026-02-15,2026-02-16,2,Not Started
INS-113,SYN-IND-001,Utility Area/Instrumentation,Instrumentation,Install instrument PT-301,Mount and install field instrument PT-301,PT-301,Utility Area,Instrumentation,,2026-02-13,2026-02-14,2,Not Started
INS-114,SYN-IND-001,Utility Area/Instrumentation,Instrumentation,Calibrate instrument PT-301,Perform calibration and configuration of instrument PT-301,PT-301,Utility Area,Instrumentation,INS-113,2026-02-16,2026-02-17,2,Not Started
INS-115,SYN-IND-001,Utility Area/Instrumentation,Instrumentation,Perform loop check for PT-301,Verify signal loop and communication for instrument PT-301,PT-301,Utility Area,Instrumentation,INS-114,2026-02-19,2026-02-19,1,Not Started
INS-116,SYN-IND-001,Utility Area/Instrumentation,Instrumentation,Install instrument LT-301,Mount and install field instrument LT-301,LT-301,Utility Area,Instrumentation,,2026-02-13,2026-02-14,2,Not Started
INS-117,SYN-IND-001,Utility Area/Instrumentation,Instrumentation,Calibrate instrument LT-301,Perform calibration and configuration of instrument LT-301,LT-301,Utility Area,Instrumentation,INS-116,2026-02-16,2026-02-17,2,Not Started
INS-118,SYN-IND-001,Utility Area/Instrumentation,Instrumentation,Perform loop check for LT-301,Verify signal loop and communication for instrument LT-301,LT-301,Utility Area,Instrumentation,INS-117,2026-02-19,2026-02-19,1,Not Started
