report_id,report_date,source_type,raw_text,report_category,expected_event_type,expected_progress
RPT-0088,2026-01-16,Field App,pa a sp 101 mounted work done,Noisy,FINISH,100
RPT-0089,2026-01-17,Field App,SP101 work finished.,Incomplete,FINISH,100
RPT-0090,2026-01-16,DPR,Spool work update: finished.,Ambiguous,FINISH,100
RPT-0091,2026-01-19,Field App,SP101 joint fitup 40% complete in PA A.,Normal,PROGRESS,40
RPT-0092,2026-01-19,DPR,SP-101 joint fitup finished in PA A.,Normal,FINISH,100
RPT-0093,2026-01-19,Supervisor Text,sp-101 fit up 50% complete @ pump A,Abbreviation,PROGRESS,50
RPT-0094,2026-01-19,DPR,pump area a sp-101 fit-up work begun,Noisy,START,0
RPT-0095,2026-01-20,Field App,SP 101 work completed.,Incomplete,FINISH,100
RPT-0096,2026-01-20,Supervisor Text,Spool work update: 50% complete.,Ambiguous,PROGRESS,50
RPT-0097,2026-01-24,DPR,SP-101 welding 10% complete in PA-A.,Normal,PROGRESS,10
RPT-0098,2026-01-23,Voice Transcript,SP101 welding completed in Pump Area A.,Normal,FINISH,100
RPT-0099,2026-01-22,Field App,PA A: SP101 weld work finished,Abbreviation,FINISH,100
RPT-0100,2026-01-24,Field App,sp101 weld commenced at pump a,Noisy,START,0
RPT-0101,2026-01-24,Supervisor Text,Weld work started.,Incomplete,START,0
RPT-0102,2026-01-24,Voice Transcript,Spool work update: done.,Ambiguous,FINISH,100
RPT-0103,2026-01-26,DPR,SP-101 weld work finished in pump A.,Normal,FINISH,100
RPT-0104,2026-01-27,Supervisor Text,SP-101 weld completed in PA A.,Normal,FINISH,100
RPT-0105,2026-01-27,Supervisor Text,pump A: sp-101 weld done,Abbreviation,FINISH,100
RPT-0106,2026-01-27,Voice Transcript,pa-a sp-101 weld work work done,Noisy,FINISH,100
RPT-0107,2026-01-27,Supervisor Text,Weld work 60% complete.,Incomplete,PROGRESS,60
RPT-0108,2026-01-26,Supervisor Text,Spool work done.,Ambiguous,FINISH,100
RPT-0109,2026-01-29,Supervisor Text,sp-101 pressure test 50% complete in Pump Area A.,Normal,PROGRESS,50
RPT-0110,2026-01-29,Field App,Piping update: hydrotest of sp-101 finished at Pump Area A.,Normal,FINISH,100
RPT-0111,2026-01-30,DPR,SP-101 hydrotest completed @ pump A,Abbreviation,FINISH,100
RPT-0112,2026-01-30,Voice Transcript,pa a sp-101 hydro testing work 25% complete,Noisy,PROGRESS,25
RPT-0113,2026-01-29,DPR,SP101 work finished.,Incomplete,FINISH,100
RPT-0114,2026-01-30,Voice Transcript,Hydro Testing completed.,Ambiguous,FINISH,100
RPT-0115,2026-01-17,Voice Transcript,Piping update: erection of sp-102 begun at pump A.,Normal,START,0
RPT-0116,2026-01-15,Voice Transcript,SP 102 installation finished in PA-A.,Normal,FINISH,100
RPT-0117,2026-01-15,Voice Transcript,sp-102 mounted finished.,Abbreviation,FINISH,100
RPT-0118,2026-01-17,Voice Transcript,sp102 install begun at pa a,Noisy,START,0
RPT-0119,2026-01-16,Supervisor Text,Installation work completed.,Incomplete,FINISH,100
RPT-0120,2026-01-16,Voice Transcript,Placed completed.,Ambiguous,PROGRESS,50
RPT-0121,2026-01-20,Field App,Piping update: joint fitup of SP-102 commenced at Pump Area A.,Normal,START,0
RPT-0122,2026-01-20,DPR,Joint Preparation work for SP-102 50% complete at Pump Area A.,Normal,PROGRESS,50
RPT-0123,2026-01-19,Field App,PA A: SP-102 fit up done,Abbreviation,FINISH,100
RPT-0124,2026-01-19,Voice Transcript,pa-a sp102 joint fitup work completd,Noisy,FINISH,100
RPT-0125,2026-01-20,Supervisor Text,Joint Preparation work commenced.,Incomplete,START,0
RPT-0126,2026-01-20,Supervisor Text,Spool work 90% complete.,Ambiguous,PROGRESS,90
RPT-0127,2026-01-22,Voice Transcript,SP 102 weld work begun in pump A.,Normal,START,0
RPT-0128,2026-01-24,Supervisor Text,SP-102 joint welding commenced in PA-A.,Normal,START,0
RPT-0129,2026-01-24,DPR,SP 102 joint welding begun @ Pump Area A,Abbreviation,START,0
RPT-0130,2026-01-22,Field App,pa a sp-102 weldng work commenced,Noisy,START,0
RPT-0131,2026-01-23,DPR,Weld work 75% complete.,Incomplete,PROGRESS,75
RPT-0132,2026-01-24,Voice Transcript,Weld Work completed.,Ambiguous,PROGRESS,75
RPT-0133,2026-01-27,Supervisor Text,SP102 weld work completed in PA A.,Normal,FINISH,100
RPT-0134,2026-01-26,Voice Transcript,Weld work for SP-102 40% complete at pump A.,Normal,PROGRESS,40
RPT-0135,2026-01-26,Voice Transcript,Pump Area A: SP 102 joint welding started,Abbreviation,START,0
RPT-0136,2026-01-27,DPR,sp 102 weld work completd at pump a,Noisy,FINISH,100
RPT-0137,2026-01-27,Supervisor Text,SP 102 work 60% complete.,Incomplete,PROGRESS,60
RPT-0138,2026-01-27,DPR,Weld completed.,Ambiguous,PROGRESS,10
RPT-0139,2026-01-30,Field App,Piping update: testing of SP102 done at pump A.,Normal,FINISH,100
RPT-0140,2026-01-30,Field App,Testing work for SP-102 begun at pump A.,Normal,START,0
RPT-0141,2026-01-30,DPR,PA A: SP102 hydrotest finished,Abbreviation,FINISH,100
RPT-0142,2026-01-29,DPR,sp102 testing completd at pump area a,Noisy,FINISH,100
RPT-0143,2026-01-29,Field App,SP102 work 25% complete.,Incomplete,PROGRESS,25
RPT-0144,2026-01-29,Field App,Hydrotest completed.,Ambiguous,PROGRESS,25
RPT-0145,2026-01-18,Field App,Install work for CT101 completed at Pump Area A.,Normal,FINISH,100
RPT-0146,2026-01-19,Voice Transcript,Install work for CT101 10% complete at PA A.,Normal,PROGRESS,10
RPT-0147,2026-01-19,DPR,CT-101 mounted done.,Abbreviation,FINISH,100
RPT-0148,2026-01-19,DPR,pump area a ct101 placed work done,Noisy,FINISH,100
RPT-0149,2026-01-18,Voice Transcript,ct-101 mounted finished.,Incomplete,FINISH,100
RPT-0150,2026-01-17,Supervisor Text,Electrical work completed.,Ambiguous,FINISH,100
RPT-0151,2026-01-22,Voice Transcript,Electrical update: cables routed of CT 101 60% complete at pump A.,Normal,PROGRESS,60
RPT-0152,2026-01-23,Field App,Electrical update: cables routed of ct-101 completed at Pump Area A.,Normal,FINISH,100
RPT-0153,2026-01-22,DPR,pump A: CT101 pull cables done,Abbreviation,FINISH,100
RPT-0154,2026-01-21,DPR,pa a ct 101 pull cables work completd,Noisy,FINISH,100
RPT-0155,2026-01-22,Field App,ct-101 work 10% complete.,Incomplete,PROGRESS,10
RPT-0156,2026-01-23,Voice Transcript,Pull Cables completed.,Ambiguous,PROGRESS,60
RPT-0157,2026-01-25,Field App,CT-101 cables terminated begun in PA A.,Normal,START,0
RPT-0158,2026-01-26,DPR,Electrical update: cable termination of ct-101 done at PA-A.,Normal,FINISH,100
RPT-0159,2026-01-25,Supervisor Text,CT101 cables terminated 60% complete.,Abbreviation,PROGRESS,60
RPT-0160,2026-01-25,Field App,ct 101 terminate cables done at pa a,Noisy,FINISH,100
RPT-0161,2026-01-25,DPR,CT-101 work 50% complete.,Incomplete,PROGRESS,50
RPT-0162,2026-01-25,Supervisor Text,Terminate Cables completed.,Ambiguous,PROGRESS,25
RPT-0163,2026-01-23,DPR,Install work for PT 101 completed at Pump Area A.,Normal,FINISH,100
RPT-0164,2026-01-24,Field App,pt-101 placed done in pump A.,Normal,FINISH,100
RPT-0165,2026-01-24,Supervisor Text,pump A: PT 101 install 10% complete,Abbreviation,PROGRESS,10
RPT-0166,2026-01-23,Field App,pump area a pt-101 install work completd,Noisy,FINISH,100
RPT-0167,2026-01-24,Field App,Install work 40% complete.,Incomplete,PROGRESS,40
RPT-0168,2026-01-23,Voice Transcript,Instrument work update: done.,Ambiguous,FINISH,100
RPT-0169,2026-01-27,Supervisor Text,PT-101 calibration finished in PA A.,Normal,FINISH,100
RPT-0170,2026-01-27,DPR,PT-101 calibrate finished in PA A.,Normal,FINISH,100
RPT-0171,2026-01-26,Voice Transcript,PA-A: PT-101 calibration finished,Abbreviation,FINISH,100
RPT-0172,2026-01-26,Field App,pt 101 calibrtn started at pa-a,Noisy,START,0
RPT-0173,2026-01-26,Supervisor Text,PT 101 calibrate started.,Incomplete,START,0
RPT-0174,2026-01-27,Voice Transcript,Calibrate completed.,Ambiguous,FINISH,100
RPT-0175,2026-01-29,Voice Transcript,PT 101 loop check 60% complete in PA A.,Normal,PROGRESS,60
RPT-0176,2026-01-29,Supervisor Text,PT 101 loop testing completed in PA A.,Normal,FINISH,100
RPT-0177,2026-01-29,Voice Transcript,PT-101 signal check done @ Pump Area A,Abbreviation,FINISH,100
RPT-0178,2026-01-30,Voice Transcript,pt-101 loop testing finished at pump a,Noisy,FINISH,100
RPT-0179,2026-01-29,Field App,PT-101 work done.,Incomplete,FINISH,100
RPT-0180,2026-01-29,Supervisor Text,Instrument work update: finished.,Ambiguous,FINISH,100
RPT-0181,2026-01-23,Supervisor Text,Instrumentation update: mounted of TT 101 done at pump A.,Normal,FINISH,100
RPT-0182,2026-01-23,Supervisor Text,Instrumentation update: erection of TT-101 done at pump A.,Normal,FINISH,100
RPT-0183,2026-01-24,Field App,TT101 erection finished.,Abbreviation,FINISH,100
RPT-0184,2026-01-23,Voice Transcript,tt 101 erction 10% complete at pump a,Noisy,PROGRESS,10
RPT-0185,2026-01-24,Voice Transcript,TT-101 erection completed.,Incomplete,FINISH,100
RPT-0186,2026-01-23,Supervisor Text,Instrument work done.,Ambiguous,FINISH,100
RPT-0187,2026-01-26,Voice Transcript,Calibrate work for TT101 started at pump A.,Normal,START,0
RPT-0188,2026-01-27,Field App,TT 101 calibration finished in PA-A.,Normal,FINISH,100
RPT-0189,2026-01-27,Voice Transcript,TT 101 calibrate done.,Abbreviation,FINISH,100
RPT-0190,2026-01-26,Supervisor Text,tt-101 calibrate 90% complete at pump a,Noisy,PROGRESS,90
RPT-0191,2026-01-26,Supervisor Text,tt-101 work finished.,Incomplete,FINISH,100
RPT-0192,2026-01-27,DPR,Instrument work finished.,Ambiguous,FINISH,100
RPT-0193,2026-01-29,Voice Transcript,TT101 signal check started in pump A.,Normal,START,0
RPT-0194,2026-01-29,Supervisor Text,Loop Check work for TT101 done at pump A.,Normal,FINISH,100
RPT-0195,2026-01-30,Field App,PA-A: TT 101 loop check started,Abbreviation,START,0
RPT-0196,2026-01-30,Field App,tt-101 loop check 50% complete at pump area a,Noisy,PROGRESS,50
RPT-0197,2026-01-30,DPR,tt-101 signal check 60% complete.,Incomplete,PROGRESS,60
RPT-0198,2026-01-29,Field App,Loop Check completed.,Ambiguous,FINISH,100
RPT-0199,2026-01-12,Voice Transcript,f-103 foundation digging 40% complete in Pump Area B.,Normal,PROGRESS,40
RPT-0200,2026-01-14,DPR,Civil update: excavate of F-103 finished at PA B.,Normal,FINISH,100
RPT-0201,2026-01-13,DPR,Pump Area B: f-103 foundation digging done,Abbreviation,FINISH,100
RPT-0202,2026-01-14,Supervisor Text,f-103 excavate finished at pa b,Noisy,FINISH,100
RPT-0203,2026-01-13,Voice Transcript,F 103 work completed.,Incomplete,FINISH,100
RPT-0204,2026-01-12,Supervisor Text,Foundation Digging completed.,Ambiguous,PROGRESS,90
RPT-0205,2026-01-19,Voice Transcript,Civil update: concreting of F103 done at Pump Area B.,Normal,FINISH,100
RPT-0206,2026-01-18,Supervisor Text,Civil update: concreting of F103 completed at PA B.,Normal,FINISH,100
RPT-0207,2026-01-19,Supervisor Text,pump B: F 103 pour concrete finished,Abbreviation,FINISH,100
RPT-0208,2026-01-16,Voice Transcript,pump b f-103 concreting work commenced,Noisy,START,0
RPT-0209,2026-01-18,Supervisor Text,F103 concreting completed.,Incomplete,FINISH,100
RPT-0210,2026-01-16,Supervisor Text,Pour Concrete completed.,Ambiguous,FINISH,100
RPT-0211,2026-01-24,Supervisor Text,Civil update: cure of F 103 50% complete at Pump Area B.,Normal,PROGRESS,50
RPT-0212,2026-01-24,DPR,Civil update: cure of F103 finished at Pump Area B.,Normal,FINISH,100
RPT-0213,2026-01-21,Field App,F103 curing done.,Abbreviation,FINISH,100
RPT-0214,2026-01-25,Supervisor Text,f 103 cure 40% complete at pump b,Noisy,PROGRESS,40
RPT-0215,2026-01-22,Voice Transcript,F 103 work completed.,Incomplete,FINISH,100
RPT-0216,2026-01-22,Supervisor Text,Curing completed.,Ambiguous,FINISH,100
RPT-0217,2026-01-28,Field App,Installation work for P103 50% complete at Pump Area B.,Normal,PROGRESS,50
RPT-0218,2026-01-29,DPR,p-103 erection commenced in Pump Area B.,Normal,START,0
RPT-0219,2026-01-29,Field App,P 103 installation finished.,Abbreviation,FINISH,100
RPT-0220,2026-01-27,Voice Transcript,p103 instalation 60% complete at pump area b,Noisy,PROGRESS,60
RPT-0221,2026-01-27,DPR,P 103 work completed.,Incomplete,FINISH,100
RPT-0222,2026-01-27,Supervisor Text,Equipment work finished.,Ambiguous,FINISH,100
RPT-0223,2026-01-31,Field App,Mechanical update: align of p-103 50% complete at PA B.,Normal,PROGRESS,50
RPT-0224,2026-01-31,Supervisor Text,Align work for P-103 done at Pump Area B.,Normal,FINISH,100
RPT-0225,2026-01-31,Supervisor Text,PA B: P103 alignment started,Abbreviation,START,0
RPT-0226,2026-01-31,Supervisor Text,p 103 align finished at pump area b,Noisy,FINISH,100
RPT-0227,2026-02-01,Field App,P-103 align 60% complete.,Incomplete,PROGRESS,60
RPT-0228,2026-02-01,Voice Transcript,Equipment work update: 50% complete.,Ambiguous,PROGRESS,50
RPT-0229,2026-02-03,Field App,Mechanical update: quality check of p-103 completed at PA B.,Normal,FINISH,100
RPT-0230,2026-02-03,Supervisor Text,Mechanical update: inspection of p-103 done at pump B.,Normal,FINISH,100
RPT-0231,2026-02-03,Supervisor Text,PA B: P 103 quality check started,Abbreviation,START,0
RPT-0232,2026-02-03,DPR,p-103 quality check completd at pa b,Noisy,FINISH,100
RPT-0233,2026-02-04,Field App,Inspection work completed.,Incomplete,FINISH,100
RPT-0234,2026-02-03,DPR,Checked completed.,Ambiguous,PROGRESS,50
RPT-0235,2026-02-06,DPR,p-103 motor connection commenced in PA-B.,Normal,START,0
RPT-0236,2026-02-07,Field App,Motor Power Hookup work for p-103 completed at PA B.,Normal,FINISH,100
RPT-0237,2026-02-06,Field App,pump B: P 103 power connected started,Abbreviation,START,0
RPT-0238,2026-02-07,DPR,pump area b p 103 power connected work finished,Noisy,FINISH,100
RPT-0239,2026-02-07,Field App,P-103 work done.,Incomplete,FINISH,100
RPT-0240,2026-02-07,Voice Transcript,Electrical work completed.,Ambiguous,FINISH,100
RPT-0241,2026-01-12,Voice Transcript,F104 excavation finished in PA-B.,Normal,FINISH,100
RPT-0242,2026-01-13,Supervisor Text,Civil update: foundation digging of F 104 commenced at PA B.,Normal,START,0
RPT-0243,2026-01-13,Supervisor Text,F-104 excavation finished @ PA B,Abbreviation,FINISH,100
RPT-0244,2026-01-14,DPR,f-104 excavation 75% complete at pump b,Noisy,PROGRESS,75
RPT-0245,2026-01-12,DPR,f-104 foundation digging 25% complete.,Incomplete,PROGRESS,25
RPT-0246,2026-01-14,Field App,Excavation completed.,Ambiguous,FINISH,100
RPT-0247,2026-01-18,Voice Transcript,Concrete Casting work for f-104 finished at Pump Area B.,Normal,FINISH,100
RPT-0248,2026-01-18,Supervisor Text,F 104 pour concrete finished in PA-B.,Normal,FINISH,100
RPT-0249,2026-01-18,Supervisor Text,F104 concreting 25% complete @ PA B,Abbreviation,PROGRESS,25
RPT-0250,2026-01-18,Supervisor Text,pa b f-104 pour concrete work 75% complete,Noisy,PROGRESS,75
RPT-0251,2026-01-16,Supervisor Text,Concreting work completed.,Incomplete,FINISH,100
RPT-0252,2026-01-19,Field App,Pour Concrete completed.,Ambiguous,START,0
RPT-0253,2026-01-25,Field App,Civil update: cure of F 104 completed at PA B.,Normal,FINISH,100
RPT-0254,2026-01-23,Voice Transcript,F104 cure completed in PA-B.,Normal,FINISH,100
RPT-0255,2026-01-24,Voice Transcript,F104 cure done.,Abbreviation,FINISH,100
RPT-0256,2026-01-21,Field App,f 104 curing 90% complete at pa b,Noisy,PROGRESS,90
RPT-0257,2026-01-24,Voice Transcript,F-104 curing completed.,Incomplete,FINISH,100
RPT-0258,2026-01-25,DPR,Foundation work update: done.,Ambiguous,FINISH,100
RPT-0259,2026-01-29,Voice Transcript,Mechanical update: mounted of P 104 commenced at PA B.,Normal,START,0
RPT-0260,2026-01-28,Field App,Erection work for P104 started at pump B.,Normal,START,0
RPT-0261,2026-01-28,Supervisor Text,P 104 install 75% complete.,Abbreviation,PROGRESS,75
RPT-0262,2026-01-28,Supervisor Text,pa-b p104 placed work 90% complete,Noisy,PROGRESS,90
RPT-0263,2026-01-27,DPR,Installation work done.,Incomplete,FINISH,100
RPT-0264,2026-01-29,DPR,Erection completed.,Ambiguous,FINISH,100
RPT-0265,2026-02-01,Supervisor Text,Align work for P 104 finished at PA-B.,Normal,FINISH,100
RPT-0266,2026-01-31,Field App,Mechanical update: alignment of P 104 done at Pump Area B.,Normal,FINISH,100
RPT-0267,2026-02-01,Voice Transcript,p-104 alignment commenced.,Abbreviation,START,0
RPT-0268,2026-02-01,DPR,pa-b p104 align work 50% complete,Noisy,PROGRESS,50
RPT-0269,2026-01-31,Field App,P-104 work commenced.,Incomplete,START,0
RPT-0270,2026-02-01,DPR,Equipment work update: finished.,Ambiguous,FINISH,100
RPT-0271,2026-02-04,Voice Transcript,Mechanical update: quality check of p-104 started at Pump Area B.,Normal,START,0
RPT-0272,2026-02-04,DPR,p-104 inspect 60% complete in PA B.,Normal,PROGRESS,60
RPT-0273,2026-02-03,DPR,Pump Area B: P-104 quality check 60% complete,Abbreviation,PROGRESS,60
RPT-0274,2026-02-03,Field App,pump b p-104 inspect work begun,Noisy,START,0
RPT-0275,2026-02-04,Voice Transcript,Quality Check work 75% complete.,Incomplete,PROGRESS,75
RPT-0276,2026-02-04,Field App,Equipment work update: completed.,Ambiguous,FINISH,100
RPT-0277,2026-02-07,Voice Transcript,P-104 power connected 25% complete in Pump Area B.,Normal,PROGRESS,25
RPT-0278,2026-02-06,DPR,p-104 motor connection 25% complete in PA B.,Normal,PROGRESS,25
RPT-0279,2026-02-06,DPR,p-104 motor connection completed @ Pump Area B,Abbreviation,FINISH,100
RPT-0280,2026-02-07,Field App,pa-b p-104 motor power hookup work completd,Noisy,FINISH,100
RPT-0281,2026-02-07,Supervisor Text,P-104 motor power hookup done.,Incomplete,FINISH,100
RPT-0282,2026-02-06,Field App,Power Connected completed.,Ambiguous,FINISH,100
RPT-0283,2026-01-24,Voice Transcript,Piping update: erection of sp-101 50% complete at Pump Area B.,Normal,PROGRESS,50
RPT-0284,2026-01-23,Field App,sp-101 installation 40% complete in pump B.,Normal,PROGRESS,40
RPT-0285,2026-01-22,Voice Transcript,SP101 erection 50% complete.,Abbreviation,PROGRESS,50
RPT-0286,2026-01-23,Field App,sp-101 placed commenced at pump b,Noisy,START,0
RPT-0287,2026-01-24,Field App,SP 101 mounted done.,Incomplete,FINISH,100
RPT-0288,2026-01-24,Field App,Spool work update: completed.,Ambiguous,FINISH,100
RPT-0289,2026-01-26,Voice Transcript,Fit-Up work for SP 101 completed at PA B.,Normal,FINISH,100
RPT-0290,2026-01-27,Voice Transcript,SP101 joint fitup commenced in pump B.,Normal,START,0
RPT-0291,2026-01-27,Voice Transcript,SP 101 fit up done.,Abbreviation,FINISH,100
